,name,id,content,retweets
108,Manin ARCOS,@CyberManin,"Sous Sarkozy la Parole était Libre, et la gôche était avide d'insultes à l'égard de la Présidence :   http://tinyurl.com/93nu6x2  .. #NS2017",4
109,prunerop2,‏@prunerop2,"Article de 2012 :Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/7TcvQW  via @po_st",0
110,Sophie Evenou,@EvenouSophie,Pourquoi les journalistes ne parlent pas du fils de hollande avec Anne hidalgo?,0
111,LES REPUBLICAINS,@augusteblanc,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/ubdtpo  via @po_st",1
112,Dalilo,‏@Dalilo75,@Clumsy9 ??? Ils ont pourtant un point commun : un enfant http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …,0
113,Julien Damelet,@JulienDamelet,"@BesacTof @benj_st pas à avoir peur, juste à être correct Je ne parle pas du fils caché de Hollande avec Hidalgo, je respecte abs de preuve",0
114,Manin ARCOS,‏@CyberManin,France : Freedom of Expression nowadays? It is as if one Socialist has courage !  http://tinyurl.com/93nu6x2,0
115,Manin ARCOS,‏@CyberManin,Avec Sarkozy la Liberté d'Expression Régnait et la gôche diffamait sans arrêt la Présidence : http://tinyurl.com/93nu6x2  #ConfPR #FNPS,0
116,L'instant thé,@Bleutweet,Z'êtes au courant ? Paraîtrait que Hollande aurait un fils caché avec Anne Hidalgo. #radiocancan # rumeur qui court #J'adore !,0
117,jo VINCENT,‏@JOAKIM555,"Pour le père une actrice, pour le fils une chanteuse, et l'ex un humouriste! ajoutes Enrico  pour Hidalgo.!Bling bling les royal-hollande-PS",0
118,CalviOne,‏@CalviOne,Maintenant que #Hollande confirme la rumeur de liaison avec Gayet Confirmera-t-il l'autre rumeur concernant sa paternité du fils de Hidalgo?,1
119,in girum et coetera,‏@lamericaprod,"Fils caché avec Hidalgo, compagne non divorcée, ovnis : François Hollande victime des rumeurs | Atlantico http://po.st/uoB8Op  via @po_st",0
120,Sandra FELLOUS,‏@SandraFELLOUS,Hidalgo a demandé à Twitter d'effacer toutes les rumeurs à son égard ) Atlantico http://po.st/3RsjVF  via @po_st”,3
121,LES REPUBLICAINS,‏@augusteblanc,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/AEgwK5  via @po_st",1
122,vauban,@vaubandaniel,"@GBehague @MdameMichu @Anne_Hidalgo c'est pas un adjoint c'est son fils caché avec François Hollande : Air hautain, crache sur la droite.",0
123,LES REPUBLICAINS,‏@augusteblanc,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/3RsjVF  via @po_st",0
124,Stalker,@Wks_69,On dirait le fils caché d'anne Hidalgo et de François Hollande.....nouvelle image du tireur ! http://bit.ly/1by2kkv,10
125,antoine nantes,@antoine_nantes,Le boloss mis en exergue par les laquais de #Itélé ressemble à s'y méprendre à  #hollande jeune: un fils caché ? #hidalgo #copains et coquins,0
126,Charles Denoyaf,@Denoyaf,"La #censure c'est #maintenant et pas en #Corée du #Nord mais au #PS, http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
127,aiglebleue,‏@aiglebleue,"Fils caché, compagne non divorcée : François Hollande victime des rumeurs | Atlantico http://po.st/KvZKlf  via @po_st",0
128,Balvenie,@Balvenie01,Le message des socialistes est clair : quiconque se permet de les critiquer aura à faire à la justice http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …,0
129,Régale,‏@regale59,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
130,Philippe,‏@HAREL22,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",1
131,Rosine,‏@Rosine19,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
132,Emmanuel Boنan,‏@EmmanuelBouan,"Bel article ! Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
