,name,id,content,retweets
36,E.InfoGrandSudOuest,‏@alaindenerac,On s'en bas les c...................... !!! http://fb.me/7y2deoZWH,0
37,Jean-Louis TRCT,‏@GianluigiTRCT,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … Femme publique,0
38,Jean-Louis TRCT,@GianluigiTRCT,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … Que je respire si je mens!,1
39,frede33155,‏@FredericLalanne,ALERTE ALERTE ALERTE ALERTE !!!!le fornicateur hérectus à en core frappé http://fb.me/7fjq21uq2,0
40,in girum et coetera,‏@lamericaprod,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,0
41,Boumier Robert,@BoumierRober,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,0
42,ocsena zaz,‏@OcsenaZaz,François Hollande père du fils d’Anne Hidalgo La maire de Paris dément (encore) Planet.html http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html?xtor=ES-1-820540[Planet-a-la-Une]-20150410 …,
43,Laufra François,‏@laufra2330,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris réagit http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html?xtor=ES-1-820540[Planet-a-la-Une]-20150410 …,1
44,gillou,‏@GillesStocklin,"Fils caché, compagne non divorcée... Toutes les réponses aux rumeurs sur François Hollande  prolifèrent... http://po.st/emUCeV  via @po_st",0
45,Conte jean,@contejb,m.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,0
46,missblabla75,@missblabla75,En attendant ce père est inconnu#François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,1
47,BRIENS de TOURVILLE,‏@briens6,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,1
48,Fab Ricewell,@Fabricewell,Qu'elle fasse ce qu'il faut pour prouver de qui il est ce gamin http://fb.me/4bm2Egfj3,0
49,grabotte,‏@chantalanni,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,0
