num_rumor;date;name;id;content;retweets;
157;2015-04-10;Paris France News;@ParisFranceNews;François Hollande père du fils d'Anne Hidalgo ? La maire de Paris dément (encore) - http://goo.gl/alerts/MsFo  #GoogleAlerts;0;
157;2015-04-10;grabotte;‏@chantalanni;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore);1;
157;2015-04-10;mazabraud bernard;‏@beberenard;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …;0;
157;2015-04-10;coppolacorneh;‏@coppolacorneh;Cà vole haut le débat politique en France!! http://fb.me/1ULG4Hy2p;0; 
157;2015-04-10;E.InfoGrandSudOuest;‏@alaindenerac;On s'en bas les c...................... !!! http://fb.me/7y2deoZWH;0;
157;2015-04-10;Jean-Louis TRCT;‏@GianluigiTRCT;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … Femme publique;0;
157;2015-04-10;Jean-Louis TRCT;@GianluigiTRCT;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … Que je respire si je mens!;1;
157;2015-04-10;frede33155;‏@FredericLalanne;ALERTE ALERTE ALERTE ALERTE !!!!le fornicateur hérectus à en core frappé http://fb.me/7fjq21uq2;0;
157;2015-04-10;in girum et coetera;‏@lamericaprod;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr;0;
157;2015-04-10;Boumier Robert;@BoumierRober;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr;0;
157;2015-04-10;ocsena zaz;‏@OcsenaZaz;François Hollande père du fils d’Anne Hidalgo La maire de Paris dément (encore) Planet.html http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html?xtor=ES-1-820540[Planet-a-la-Une]-20150410 …;0;
